block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
110,Hougang Ave 1,01 to 03,67,New Generation,1982,60,315000,Nov 2021
123,Hougang Ave 1,07 to 09,67,New Generation,1981,58.92,342800,Nov 2021
17,Hougang Ave 3,01 to 03,73,New Generation,1978,55.58,285000,Nov 2021
620,Hougang Ave 8,01 to 03,70,Improved,1985,62.92,360000,Nov 2021
631,Hougang Ave 8,04 to 06,60,Improved,1985,62.83,290000,Nov 2021
671,Hougang Ave 8,01 to 03,74,Model A,1987,65.08,333000,Nov 2021
473B,Upp Serangoon Cres,01 to 03,68,Model A,2017,94.67,390000,Nov 2021
986A,Buangkok Cres,13 to 15,67,Model A,2012,89.67,380000,Oct 2021
113,Hougang Ave 1,07 to 09,79,New Generation,1982,59.33,358000,Oct 2021
117,Hougang Ave 1,01 to 03,67,New Generation,1982,59.58,318000,Oct 2021
1,Hougang Ave 3,07 to 09,59,Improved,1975,52.83,275000,Oct 2021
2,Hougang Ave 3,01 to 03,59,Improved,1975,52.83,270000,Oct 2021
307,Hougang Ave 5,01 to 03,82,New Generation,1983,60.42,330000,Oct 2021
311,Hougang Ave 5,04 to 06,68,New Generation,1983,60.67,320000,Oct 2021
322,Hougang Ave 5,04 to 06,67,New Generation,1983,60.5,310000,Oct 2021
529,Hougang Ave 6,04 to 06,74,Model A,1987,64.75,350000,Oct 2021
619,Hougang Ave 8,07 to 09,60,Improved,1985,63,298000,Oct 2021
619,Hougang Ave 8,07 to 09,60,Improved,1985,63,320000,Oct 2021
631,Hougang Ave 8,07 to 09,60,Improved,1985,62.83,298000,Oct 2021
632,Hougang Ave 8,07 to 09,64,Simplified,1986,63.75,330000,Oct 2021
932A,Hougang Ave 9,07 to 09,67,Model A,2017,95.08,422000,Oct 2021
932B,Hougang Ave 9,04 to 06,67,Model A,2017,95.17,410000,Oct 2021
691,Hougang St 61,01 to 03,64,Simplified,1987,64.92,288000,Oct 2021
986A,Buangkok Cres,04 to 06,67,Model A,2012,89.75,360000,Sep 2021
987B,Buangkok Green,04 to 06,68,Model A,2015,92.5,360000,Sep 2021
108,Hougang Ave 1,04 to 06,81,New Generation,1984,61.5,421000,Sep 2021
125,Hougang Ave 1,07 to 09,67,New Generation,1981,59,345000,Sep 2021
174A,Hougang Ave 1,04 to 06,66,Model A,2014,91.33,335000,Sep 2021
702,Hougang Ave 2,01 to 03,82,New Generation,1985,63.08,360000,Sep 2021
704,Hougang Ave 2,04 to 06,67,New Generation,1985,63.25,335000,Sep 2021
6,Hougang Ave 3,04 to 06,59,Improved,1975,52.83,272000,Sep 2021
19,Hougang Ave 3,10 to 12,73,New Generation,1978,55.75,320000,Sep 2021
24,Hougang Ave 3,13 to 15,67,New Generation,1978,55.75,300000,Sep 2021
667,Hougang Ave 4,04 to 06,74,Model A,1987,64.83,338000,Sep 2021
308,Hougang Ave 5,10 to 12,67,New Generation,1983,61.17,325000,Sep 2021
322,Hougang Ave 5,07 to 09,67,New Generation,1983,60.67,330000,Sep 2021
317,Hougang Ave 7,01 to 03,67,New Generation,1983,60.92,315000,Sep 2021
317,Hougang Ave 7,01 to 03,67,New Generation,1983,60.83,321000,Sep 2021
617,Hougang Ave 8,07 to 09,64,Simplified,1986,63.42,315000,Sep 2021
619,Hougang Ave 8,10 to 12,60,Improved,1985,63,330000,Sep 2021
669,Hougang Ave 8,01 to 03,74,Model A,1987,65.17,305000,Sep 2021
681,Hougang Ave 8,01 to 03,64,Simplified,1989,66.92,350000,Sep 2021
932A,Hougang Ave 9,07 to 09,67,Model A,2017,95.25,421888,Sep 2021
473C,Upp Serangoon Cres,01 to 03,68,Model A,2017,94.83,380000,Sep 2021
473C,Upp Serangoon Cres,10 to 12,68,Model A,2017,94.75,397000,Sep 2021
110,Hougang Ave 1,01 to 03,70,New Generation,1982,60.25,295000,Aug 2021
110,Hougang Ave 1,01 to 03,70,New Generation,1982,60.25,305000,Aug 2021
114,Hougang Ave 1,04 to 06,66,New Generation,1982,59.5,305000,Aug 2021
123,Hougang Ave 1,10 to 12,82,New Generation,1981,59.17,350000,Aug 2021
126,Hougang Ave 1,10 to 12,70,New Generation,1983,60.58,380000,Aug 2021
22,Hougang Ave 3,07 to 09,73,New Generation,1978,55.83,318000,Aug 2021
24,Hougang Ave 3,10 to 12,82,New Generation,1978,55.83,308000,Aug 2021
254,Hougang Ave 3,01 to 03,72,New Generation,1984,62.08,328000,Aug 2021
665,Hougang Ave 4,10 to 12,74,Model A,1988,66.33,348000,Aug 2021
665,Hougang Ave 4,10 to 12,74,Model A,1988,66.5,360000,Aug 2021
309,Hougang Ave 5,07 to 09,67,New Generation,1982,60.25,325000,Aug 2021
321,Hougang Ave 5,07 to 09,67,New Generation,1983,60.5,342000,Aug 2021
