block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
32,Marine Cres,04 to 06,65,Improved,1975,52.58,395000,Nov 2021
67,Marine Dr,04 to 06,76,Improved,1976,53.42,430000,Nov 2021
34,Marine Cres,01 to 03,59,Improved,1975,52.58,332000,Oct 2021
46,Marine Cres,04 to 06,65,Improved,1975,52.75,357000,Oct 2021
64,Marine Dr,07 to 09,68,Improved,1976,53.5,440000,Oct 2021
66,Marine Dr,16 to 18,65,Improved,1976,53.5,405000,Oct 2021
66,Marine Dr,13 to 15,76,Improved,1976,53.42,500000,Oct 2021
8,Marine Ter,01 to 03,76,Improved,1975,52.25,420000,Oct 2021
19,Marine Ter,01 to 03,65,Improved,1975,52.33,325000,Oct 2021
20,Marine Ter,04 to 06,65,Improved,1975,52.25,357800,Oct 2021
57,Marine Ter,07 to 09,65,Improved,1975,52.58,350888,Oct 2021
30,Marine Cres,13 to 15,65,Improved,1975,52.75,368000,Sep 2021
30,Marine Cres,10 to 12,76,Improved,1975,52.75,480000,Sep 2021
46,Marine Cres,04 to 06,65,Improved,1975,52.75,343000,Sep 2021
64,Marine Dr,01 to 03,68,Improved,1976,53.58,330000,Sep 2021
64,Marine Dr,07 to 09,79,Improved,1976,53.58,480000,Sep 2021
65,Marine Dr,10 to 12,65,Improved,1976,53.58,420000,Sep 2021
65,Marine Dr,16 to 18,76,Improved,1976,53.58,588000,Sep 2021
8,Marine Ter,10 to 12,65,Improved,1975,52.42,385000,Sep 2021
58,Marine Ter,10 to 12,65,Improved,1975,52.67,385000,Sep 2021
30,Marine Cres,04 to 06,76,Improved,1975,52.83,400000,Aug 2021
33,Marine Cres,04 to 06,65,Improved,1975,52.83,338000,Aug 2021
33,Marine Cres,04 to 06,65,Improved,1975,52.83,360000,Aug 2021
65,Marine Dr,01 to 03,65,Improved,1976,53.67,355000,Aug 2021
65,Marine Dr,01 to 03,76,Improved,1976,53.67,388000,Aug 2021
65,Marine Dr,04 to 06,65,Improved,1976,53.67,400000,Aug 2021
65,Marine Dr,16 to 18,65,Improved,1976,53.75,488888,Aug 2021
4,Marine Ter,10 to 12,76,Improved,1975,52.42,450000,Aug 2021
6,Marine Ter,07 to 09,76,Improved,1975,52.42,505000,Aug 2021
8,Marine Ter,07 to 09,65,Improved,1975,52.5,365000,Aug 2021
20,Marine Ter,07 to 09,65,Improved,1975,52.42,368888,Aug 2021
58,Marine Ter,04 to 06,65,Improved,1975,52.67,338000,Aug 2021
30,Marine Cres,04 to 06,65,Improved,1975,52.83,350888,Jul 2021
32,Marine Cres,01 to 03,76,Improved,1975,52.92,355000,Jul 2021
32,Marine Cres,13 to 15,65,Improved,1975,52.92,405000,Jul 2021
32,Marine Cres,07 to 09,76,Improved,1975,52.83,407000,Jul 2021
47,Marine Cres,10 to 12,65,Improved,1975,53,445000,Jul 2021
66,Marine Dr,13 to 15,65,Improved,1976,53.67,380000,Jul 2021
4,Marine Ter,04 to 06,65,Improved,1975,52.58,328000,Jul 2021
6,Marine Ter,04 to 06,65,Improved,1975,52.58,365000,Jul 2021
19,Marine Ter,07 to 09,65,Improved,1975,52.58,400000,Jul 2021
46,Marine Cres,07 to 09,65,Improved,1975,53.08,360000,Jun 2021
46,Marine Cres,10 to 12,65,Improved,1975,53.08,360000,Jun 2021
4,Marine Ter,10 to 12,65,Improved,1975,52.67,420001,Jun 2021
6,Marine Ter,10 to 12,65,Improved,1975,52.67,444000,Jun 2021
31,Marine Cres,07 to 09,65,Improved,1975,53,435000,May 2021
31,Marine Cres,07 to 09,76,Improved,1975,53,500000,May 2021
32,Marine Cres,10 to 12,65,Improved,1975,53,373000,May 2021
4,Marine Ter,10 to 12,65,Improved,1975,52.75,395000,May 2021
6,Marine Ter,01 to 03,76,Improved,1975,52.67,370000,May 2021
8,Marine Ter,07 to 09,65,Improved,1975,52.75,372888,May 2021
8,Marine Ter,10 to 12,65,Improved,1975,52.67,375000,May 2021
35,Marine Cres,04 to 06,59,Improved,1975,53.17,338000,Apr 2021
65,Marine Dr,13 to 15,65,Improved,1976,54,428000,Apr 2021
65,Marine Dr,16 to 18,76,Improved,1976,53.92,478000,Apr 2021
58,Marine Ter,04 to 06,65,Improved,1975,53.08,323000,Apr 2021
