block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
670A,Edgefield Plains,13 to 15,68,Premium Apartment,2016,93.67,410000,Nov 2021
622A,Punggol Ctrl,13 to 15,69,Model A,2014,91.5,400000,Nov 2021
305A,Punggol Rd,04 to 06,67,Premium Apartment,2012,89.75,420000,Nov 2021
308B,Punggol Walk,13 to 15,67,Premium Apartment,2016,93.42,435000,Nov 2021
308C,Punggol Walk,16 to 18,67,Premium Apartment,2016,93.42,440000,Nov 2021
310B,Punggol Walk,04 to 06,67,Premium Apartment,2016,93.67,405000,Nov 2021
261A,Punggol Way,13 to 15,68,Model A,2016,93.67,445000,Nov 2021
122A,Edgedale Plains,13 to 15,68,Model A,2017,94.67,400000,Oct 2021
662B,Edgedale Plains,07 to 09,67,Premium Apartment,2017,94.67,400000,Oct 2021
670C,Edgefield Plains,07 to 09,68,Premium Apartment,2016,93.75,398000,Oct 2021
670C,Edgefield Plains,13 to 15,68,Premium Apartment,2016,93.75,425000,Oct 2021
622A,Punggol Ctrl,16 to 18,69,Model A,2014,91.58,398000,Oct 2021
623B,Punggol Ctrl,10 to 12,69,Model A,2014,91.58,400000,Oct 2021
663A,Punggol Dr,16 to 18,65,Model A,2016,93.75,395000,Oct 2021
666A,Punggol Dr,04 to 06,68,Premium Apartment,2016,93.42,385000,Oct 2021
209C,Punggol Pl,10 to 12,67,Model A,2014,92.25,390000,Oct 2021
210B,Punggol Pl,04 to 06,67,Model A,2014,92.25,385000,Oct 2021
288C,Punggol Pl,13 to 15,72,Premium Apartment,2013,90.5,450000,Oct 2021
211A,Punggol Walk,01 to 03,67,Model A,2014,91.5,400000,Oct 2021
211B,Punggol Walk,04 to 06,67,Model A,2014,91.58,425000,Oct 2021
211C,Punggol Walk,10 to 12,67,Model A,2014,91.58,411000,Oct 2021
308C,Punggol Walk,07 to 09,67,Premium Apartment,2016,93.5,405000,Oct 2021
310B,Punggol Walk,01 to 03,67,Premium Apartment,2016,93.67,380000,Oct 2021
314B,Punggol Way,07 to 09,68,Premium Apartment,2017,95,412000,Oct 2021
315A,Punggol Way,10 to 12,68,Premium Apartment,2017,95,420000,Oct 2021
315A,Punggol Way,13 to 15,68,Premium Apartment,2017,95,428000,Oct 2021
256D,Sumang Walk,13 to 15,68,Model A,2016,94.25,405000,Oct 2021
120A,Edgedale Plains,07 to 09,67,Model A,2017,94.75,366888,Sep 2021
120A,Edgedale Plains,10 to 12,67,Model A,2017,94.75,395000,Sep 2021
120B,Edgedale Plains,16 to 18,68,Model A,2017,94.67,395000,Sep 2021
122A,Edgedale Plains,01 to 03,68,Model A,2017,94.75,370000,Sep 2021
122A,Edgedale Plains,16 to 18,68,Model A,2017,94.75,388000,Sep 2021
662A,Edgedale Plains,04 to 06,68,Premium Apartment,2017,94.75,391888,Sep 2021
662A,Edgedale Plains,10 to 12,67,Premium Apartment,2017,94.67,430000,Sep 2021
669B,Edgefield Plains,13 to 15,68,Premium Apartment,2016,93.75,410000,Sep 2021
672A,Edgefield Plains,16 to 18,65,Model A,2015,93.33,385000,Sep 2021
673A,Edgefield Plains,16 to 18,65,Model A,2015,93.33,420000,Sep 2021
663A,Punggol Dr,07 to 09,65,Model A,2016,93.75,390000,Sep 2021
209C,Punggol Pl,13 to 15,67,Model A,2014,92.33,390000,Sep 2021
211D,Punggol Walk,13 to 15,67,Model A,2014,91.67,413000,Sep 2021
261A,Punggol Way,10 to 12,68,Model A,2016,93.83,400000,Sep 2021
314A,Punggol Way,04 to 06,68,Premium Apartment,2017,95.08,399000,Sep 2021
316B,Punggol Way,04 to 06,68,Premium Apartment,2017,95,408000,Sep 2021
256C,Sumang Walk,13 to 15,68,Model A,2016,94.33,405000,Sep 2021
256D,Sumang Walk,16 to 18,68,Model A,2016,94.33,410000,Sep 2021
122A,Edgedale Plains,16 to 18,68,Model A,2017,94.83,375000,Aug 2021
122B,Edgedale Plains,04 to 06,68,Model A,2017,94.75,385000,Aug 2021
661A,Edgedale Plains,04 to 06,67,Premium Apartment,2017,94.92,370000,Aug 2021
661A,Edgedale Plains,07 to 09,67,Premium Apartment,2017,94.83,390000,Aug 2021
661A,Edgedale Plains,19 to 21,67,Premium Apartment,2017,94.75,445000,Aug 2021
662A,Edgedale Plains,10 to 12,67,Premium Apartment,2017,94.83,408000,Aug 2021
662B,Edgedale Plains,16 to 18,67,Premium Apartment,2017,94.75,410000,Aug 2021
669B,Edgefield Plains,04 to 06,68,Premium Apartment,2016,93.92,388000,Aug 2021
670C,Edgefield Plains,01 to 03,67,Premium Apartment,2016,93.83,370000,Aug 2021
672B,Edgefield Plains,07 to 09,65,Model A,2015,93.33,395000,Aug 2021
601B,Punggol Ctrl,01 to 03,70,Model A,2012,90,380000,Aug 2021
601C,Punggol Ctrl,10 to 12,70,Model A,2012,89.92,398000,Aug 2021
602B,Punggol Ctrl,01 to 03,70,Model A,2012,90.08,340000,Aug 2021
623C,Punggol Ctrl,07 to 09,69,Model A,2014,91.75,375000,Aug 2021
623C,Punggol Ctrl,10 to 12,69,Model A,2014,91.75,391000,Aug 2021
624C,Punggol Ctrl,16 to 18,69,Model A,2014,91.75,405000,Aug 2021
663A,Punggol Dr,07 to 09,65,Model A,2016,93.92,381000,Aug 2021
663A,Punggol Dr,07 to 09,65,Model A,2016,93.92,385000,Aug 2021
667A,Punggol Dr,04 to 06,68,Premium Apartment,2016,93.58,375000,Aug 2021
667A,Punggol Dr,13 to 15,68,Premium Apartment,2016,93.58,410000,Aug 2021
288B,Punggol Pl,01 to 03,72,Premium Apartment,2013,90.67,385000,Aug 2021
261A,Punggol Way,04 to 06,68,Model A,2016,93.92,368000,Aug 2021
314B,Punggol Way,16 to 18,68,Premium Apartment,2017,95.17,431000,Aug 2021
315A,Punggol Way,10 to 12,68,Premium Apartment,2017,95.08,410000,Aug 2021
315B,Punggol Way,13 to 15,68,Premium Apartment,2017,95.17,421000,Aug 2021
312A,Sumang Link,10 to 12,68,Model A,2015,92.83,403888,Aug 2021
120A,Edgedale Plains,16 to 18,67,Model A,2017,94.92,382000,Jul 2021
122A,Edgedale Plains,07 to 09,68,Model A,2017,94.92,385000,Jul 2021
122B,Edgedale Plains,01 to 03,68,Model A,2017,94.92,375000,Jul 2021
661A,Edgedale Plains,13 to 15,67,Premium Apartment,2017,94.92,410000,Jul 2021
661A,Edgedale Plains,13 to 15,67,Premium Apartment,2017,95.08,412000,Jul 2021
661A,Edgedale Plains,16 to 18,67,Premium Apartment,2017,94.92,432000,Jul 2021
662A,Edgedale Plains,01 to 03,67,Premium Apartment,2017,94.92,376000,Jul 2021
662A,Edgedale Plains,07 to 09,68,Premium Apartment,2017,94.92,385000,Jul 2021
662A,Edgedale Plains,16 to 18,67,Premium Apartment,2017,94.92,386888,Jul 2021
672C,Edgefield Plains,07 to 09,65,Model A,2015,93.5,370000,Jul 2021
602C,Punggol Ctrl,13 to 15,70,Model A,2012,90.08,394000,Jul 2021
623B,Punggol Ctrl,07 to 09,69,Model A,2014,91.75,380000,Jul 2021
663A,Punggol Dr,13 to 15,65,Model A,2016,94,388000,Jul 2021
665C,Punggol Dr,13 to 15,68,Premium Apartment,2016,93.67,416500,Jul 2021
259B,Punggol Field,04 to 06,68,Model A,2016,94,370000,Jul 2021
207C,Punggol Pl,04 to 06,67,Model A,2014,92,380000,Jul 2021
208A,Punggol Pl,07 to 09,67,Model A,2014,91.92,405000,Jul 2021
288B,Punggol Pl,10 to 12,72,Premium Apartment,2013,90.75,440000,Jul 2021
211D,Punggol Walk,13 to 15,67,Model A,2014,91.83,410000,Jul 2021
308A,Punggol Walk,10 to 12,67,Premium Apartment,2016,93.75,420000,Jul 2021
308C,Punggol Walk,13 to 15,67,Premium Apartment,2016,93.75,433000,Jul 2021
261A,Punggol Way,07 to 09,68,Model A,2016,94,405000,Jul 2021
266C,Punggol Way,16 to 18,67,Model A,2015,93,415000,Jul 2021
314B,Punggol Way,07 to 09,68,Premium Apartment,2017,95.25,395000,Jul 2021
313A,Sumang Link,10 to 12,68,Model A,2015,93,380000,Jul 2021
256D,Sumang Walk,10 to 12,68,Model A,2016,94.5,383000,Jul 2021
256D,Sumang Walk,07 to 09,68,Model A,2016,94.5,395000,Jul 2021
120A,Edgedale Plains,13 to 15,67,Model A,2017,95,390000,Jun 2021
120B,Edgedale Plains,10 to 12,68,Model A,2017,95,385000,Jun 2021
120B,Edgedale Plains,10 to 12,68,Model A,2017,95,400000,Jun 2021
661A,Edgedale Plains,16 to 18,67,Premium Apartment,2017,95,408000,Jun 2021
661A,Edgedale Plains,13 to 15,67,Premium Apartment,2017,95,410000,Jun 2021
662B,Edgedale Plains,04 to 06,67,Premium Apartment,2017,95,400000,Jun 2021
662B,Edgedale Plains,13 to 15,67,Premium Apartment,2017,95,402000,Jun 2021
662B,Edgedale Plains,10 to 12,67,Premium Apartment,2017,95,405000,Jun 2021
662B,Edgedale Plains,13 to 15,67,Premium Apartment,2017,94.92,405000,Jun 2021
662B,Edgedale Plains,10 to 12,67,Premium Apartment,2017,95,410000,Jun 2021
670A,Edgefield Plains,10 to 12,68,Premium Apartment,2016,94.08,385000,Jun 2021
670A,Edgefield Plains,16 to 18,68,Premium Apartment,2016,94.08,405000,Jun 2021
670A,Edgefield Plains,16 to 18,68,Premium Apartment,2016,94.08,420888,Jun 2021
670C,Edgefield Plains,04 to 06,67,Premium Apartment,2016,94.08,350000,Jun 2021
622B,Punggol Ctrl,01 to 03,69,Model A,2014,91.83,360000,Jun 2021
623A,Punggol Ctrl,13 to 15,69,Model A,2014,91.92,365000,Jun 2021
623C,Punggol Ctrl,16 to 18,69,Model A,2014,91.92,385000,Jun 2021
613C,Punggol Dr,13 to 15,68,Model A,2012,90.58,380000,Jun 2021
210B,Punggol Pl,04 to 06,67,Model A,2014,92.58,360000,Jun 2021
210B,Punggol Pl,10 to 12,67,Model A,2014,92.58,385000,Jun 2021
289A,Punggol Pl,07 to 09,73,Premium Apartment,2013,90.83,406000,Jun 2021
306A,Punggol Pl,07 to 09,69,Premium Apartment,2012,90.17,405000,Jun 2021
305A,Punggol Rd,10 to 12,67,Premium Apartment,2012,90.17,395000,Jun 2021
305A,Punggol Rd,07 to 09,67,Premium Apartment,2012,90.17,408000,Jun 2021
603C,Punggol Rd,10 to 12,68,Model A,2012,90.25,390000,Jun 2021
604C,Punggol Rd,13 to 15,68,Model A,2012,90.33,386000,Jun 2021
310C,Punggol Walk,13 to 15,67,Premium Apartment,2016,94.08,435000,Jun 2021
266C,Punggol Way,04 to 06,67,Model A,2015,93.08,396000,Jun 2021
315B,Punggol Way,01 to 03,68,Premium Apartment,2017,95.33,380000,Jun 2021
