block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
82,C'wealth Cl,01 to 03,60,Standard,1967,44.25,279000,Nov 2021
94,C'wealth Dr,07 to 09,69,Standard,1967,44.25,345000,Nov 2021
1,Ghim Moh Rd,10 to 12,65,Improved,1976,53.75,340000,Nov 2021
13,Holland Dr,07 to 09,65,Improved,1975,52.25,380000,Nov 2021
18A,Holland Dr,13 to 15,67,Model A,2012,89.92,620000,Nov 2021
161,Mei Ling St,01 to 03,72,Improved,1970,47.75,360000,Nov 2021
23A,Queen's Cl,07 to 09,76,Improved,1973,50.58,408000,Nov 2021
82,C'wealth Cl,13 to 15,60,Standard,1967,44.33,307000,Oct 2021
101,C'wealth Cres,07 to 09,63,Standard,1970,47.75,350000,Oct 2021
112,C'wealth Cres,04 to 06,67,Standard,1969,46.42,328000,Oct 2021
53,C'wealth Dr,25 to 27,63,Model A,2015,92.42,620000,Oct 2021
93,C'wealth Dr,10 to 12,60,Standard,1967,44.25,288000,Oct 2021
87,Dawson Rd,10 to 12,65,Premium Apartment,2016,93.92,650000,Oct 2021
87,Dawson Rd,43 to 45,65,Premium Apartment,2016,93.92,706000,Oct 2021
93,Dawson Rd,37 to 39,65,Premium Apartment,2016,93.58,690000,Oct 2021
5,Dover Cres,10 to 12,67,New Generation,1979,57.17,350000,Oct 2021
20,Dover Cres,01 to 03,65,Improved,1978,55.33,305000,Oct 2021
20,Dover Cres,01 to 03,73,Improved,1978,55.25,342000,Oct 2021
20,Dover Cres,01 to 03,73,Improved,1978,55.33,365000,Oct 2021
21,Dover Cres,01 to 03,65,Improved,1976,53.83,300000,Oct 2021
28B,Dover Cres,04 to 06,70,Model A,2012,89.5,535000,Oct 2021
28C,Dover Cres,40 to 42,69,Model A,2012,89.5,568000,Oct 2021
26,Ghim Moh Link,10 to 12,67,Model A,2013,90.58,605000,Oct 2021
26,Ghim Moh Link,28 to 30,67,Model A,2013,90.58,648000,Oct 2021
2,Ghim Moh Rd,10 to 12,65,Improved,1976,53.83,350000,Oct 2021
3,Ghim Moh Rd,13 to 15,65,Improved,1976,53.83,360000,Oct 2021
5,Ghim Moh Rd,04 to 06,65,Improved,1976,53.83,335000,Oct 2021
5,Ghim Moh Rd,04 to 06,65,Improved,1976,53.83,335000,Oct 2021
21,Ghim Moh Rd,10 to 12,65,Improved,1977,54.67,355888,Oct 2021
8,Holland Ave,04 to 06,59,Improved,1974,51.67,380000,Oct 2021
9,Holland Ave,04 to 06,65,Improved,1974,51.58,360000,Oct 2021
9,Holland Ave,13 to 15,65,Improved,1974,51.67,378000,Oct 2021
12,Holland Ave,19 to 21,73,Improved,1975,52.33,480000,Oct 2021
4,Holland Cl,07 to 09,65,Improved,1974,51.58,370000,Oct 2021
6,Holland Cl,19 to 21,73,Improved,1974,51.67,421000,Oct 2021
32,Holland Cl,07 to 09,59,Improved,1974,51.67,395000,Oct 2021
13,Holland Dr,01 to 03,73,Improved,1975,52.33,340000,Oct 2021
13,Holland Dr,01 to 03,73,Improved,1975,52.42,410000,Oct 2021
18A,Holland Dr,37 to 39,67,Model A,2012,90,688000,Oct 2021
157,Mei Ling St,07 to 09,69,Improved,1970,47.33,300000,Oct 2021
158,Mei Ling St,10 to 12,66,Improved,1970,47.33,320000,Oct 2021
162,Mei Ling St,07 to 09,66,Improved,1970,47.33,325000,Oct 2021
165,Stirling Rd,10 to 12,60,Improved,1970,47.83,282888,Oct 2021
167,Stirling Rd,04 to 06,60,Improved,1971,48.33,298888,Oct 2021
168,Stirling Rd,01 to 03,60,Improved,1971,48.33,285000,Oct 2021
169,Stirling Rd,01 to 03,60,Improved,1970,47.83,275000,Oct 2021
61C,Strathmore Ave,07 to 09,69,Model A,2011,88.92,590000,Oct 2021
62B,Strathmore Ave,10 to 12,69,Model A,2011,88.92,605000,Oct 2021
112,C'wealth Cres,04 to 06,60,Standard,1969,46.42,310000,Sep 2021
50,C'wealth Dr,25 to 27,63,Model A,2015,92.42,600000,Sep 2021
90,C'wealth Dr,01 to 03,58,Standard,1967,44.42,270000,Sep 2021
90,C'wealth Dr,07 to 09,60,Standard,1967,44.42,300000,Sep 2021
90,C'wealth Dr,07 to 09,69,Standard,1967,44.42,335000,Sep 2021
93,C'wealth Dr,04 to 06,60,Standard,1967,44.42,300888,Sep 2021
87,Dawson Rd,04 to 06,65,Premium Apartment,2016,94,510000,Sep 2021
87,Dawson Rd,10 to 12,65,Premium Apartment,2016,94,618000,Sep 2021
87,Dawson Rd,31 to 33,65,Premium Apartment,2016,94,680000,Sep 2021
2,Ghim Moh Rd,10 to 12,65,Improved,1976,53.92,375000,Sep 2021
21,Ghim Moh Rd,01 to 03,65,Improved,1977,54.75,322500,Sep 2021
9,Holland Ave,16 to 18,65,Improved,1974,51.75,445000,Sep 2021
4,Holland Cl,16 to 18,73,Improved,1974,51.75,445000,Sep 2021
6,Holland Cl,22 to 24,65,Improved,1974,51.67,410000,Sep 2021
31,Holland Cl,07 to 09,59,Improved,1974,51.67,350000,Sep 2021
11,Holland Dr,19 to 21,65,Improved,1975,52.5,425000,Sep 2021
11,Holland Dr,04 to 06,73,Improved,1975,52.42,438000,Sep 2021
13,Holland Dr,04 to 06,65,Improved,1975,52.42,370000,Sep 2021
154,Mei Ling St,07 to 09,67,Improved,1970,47.42,290000,Sep 2021
154,Mei Ling St,07 to 09,67,Improved,1970,47.33,300000,Sep 2021
154,Mei Ling St,04 to 06,67,Improved,1970,47.33,308000,Sep 2021
154,Mei Ling St,16 to 18,67,Improved,1970,47.42,320000,Sep 2021
157,Mei Ling St,04 to 06,69,Improved,1970,47.42,318000,Sep 2021
160,Mei Ling St,16 to 18,72,Improved,1970,47.83,390000,Sep 2021
161,Mei Ling St,19 to 21,72,Improved,1970,47.92,422000,Sep 2021
23A,Queen's Cl,16 to 18,65,Improved,1973,50.75,368000,Sep 2021
163,Stirling Rd,07 to 09,66,Improved,1970,47.42,308888,Sep 2021
171,Stirling Rd,13 to 15,60,Improved,1970,47.92,290000,Sep 2021
82,C'wealth Cl,07 to 09,71,Standard,1967,44.58,350000,Aug 2021
98,C'wealth Cres,07 to 09,59,Standard,1970,47.92,315000,Aug 2021
