block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
2,Lor Lew Lian,07 to 09,73,Improved,1983,60.67,390001,Nov 2021
107,Serangoon Nth Ave 1,07 to 09,60,Improved,1984,62,280000,Nov 2021
1,Lor Lew Lian,04 to 06,73,Improved,1978,55.67,370000,Oct 2021
2,Lor Lew Lian,07 to 09,73,Improved,1983,60.67,376000,Oct 2021
4,Lor Lew Lian,04 to 06,73,Improved,1978,55.67,385000,Oct 2021
241,Serangoon Ave 3,04 to 06,64,Simplified,1985,63.17,438000,Oct 2021
218,Serangoon Ave 4,10 to 12,67,New Generation,1985,62.42,355000,Oct 2021
221,Serangoon Ave 4,04 to 06,67,New Generation,1984,62.25,333000,Oct 2021
210,Serangoon Ctrl,01 to 03,64,Simplified,1985,63,365000,Oct 2021
262,Serangoon Ctrl Dr,01 to 03,64,Simplified,1988,66.08,365000,Oct 2021
4,Lor Lew Lian,10 to 12,64,Improved,1978,55.75,327000,Sep 2021
5,Lor Lew Lian,10 to 12,64,Improved,1978,55.75,345000,Sep 2021
302,Serangoon Ave 2,04 to 06,60,Improved,1985,62.58,330000,Sep 2021
303,Serangoon Ave 2,01 to 03,60,Improved,1984,62.42,320000,Sep 2021
311,Serangoon Ave 2,04 to 06,67,New Generation,1985,62.67,345000,Sep 2021
215,Serangoon Ave 4,10 to 12,67,New Generation,1985,62.75,360000,Sep 2021
219,Serangoon Ave 4,04 to 06,67,New Generation,1984,62.42,328000,Sep 2021
220,Serangoon Ave 4,04 to 06,67,New Generation,1984,62.33,315000,Sep 2021
207,Serangoon Ctrl,04 to 06,64,Simplified,1986,63.67,370000,Sep 2021
102,Serangoon Nth Ave 1,01 to 03,71,New Generation,1984,62.17,325000,Sep 2021
147,Serangoon Nth Ave 1,04 to 06,64,Simplified,1988,66,320000,Sep 2021
2,Lor Lew Lian,07 to 09,64,Improved,1983,60.92,370000,Aug 2021
241,Serangoon Ave 3,07 to 09,64,Simplified,1985,63.33,420000,Aug 2021
221,Serangoon Ave 4,07 to 09,67,New Generation,1984,62.42,365000,Aug 2021
204,Serangoon Ctrl,04 to 06,64,Simplified,1985,63.25,380000,Aug 2021
106,Serangoon Nth Ave 1,07 to 09,60,Improved,1984,62.08,300000,Aug 2021
108,Serangoon Nth Ave 1,10 to 12,60,Improved,1985,62.5,296000,Aug 2021
108,Serangoon Nth Ave 1,04 to 06,69,Improved,1985,62.5,355000,Aug 2021
110,Serangoon Nth Ave 1,01 to 03,67,New Generation,1984,62.42,300000,Aug 2021
154,Serangoon Nth Ave 1,01 to 03,63,Simplified,1986,63.92,355000,Aug 2021
1,Lor Lew Lian,04 to 06,64,Improved,1978,55.92,325000,Jul 2021
1,Lor Lew Lian,10 to 12,64,Improved,1978,55.92,345000,Jul 2021
4,Lor Lew Lian,07 to 09,64,Improved,1978,55.92,328000,Jul 2021
4,Lor Lew Lian,13 to 15,64,Improved,1978,55.92,330000,Jul 2021
311,Serangoon Ave 2,04 to 06,67,New Generation,1985,62.83,388000,Jul 2021
220,Serangoon Ave 4,07 to 09,67,New Generation,1984,62.5,350000,Jul 2021
222,Serangoon Ave 4,07 to 09,67,New Generation,1985,63.25,318000,Jul 2021
206,Serangoon Ctrl,04 to 06,64,Simplified,1985,63.5,385000,Jul 2021
207,Serangoon Ctrl,07 to 09,64,Simplified,1986,63.83,398000,Jul 2021
209,Serangoon Ctrl,01 to 03,70,Simplified,1985,63.33,378000,Jul 2021
106,Serangoon Nth Ave 1,04 to 06,69,Improved,1984,62.17,320000,Jul 2021
147,Serangoon Nth Ave 1,07 to 09,64,Simplified,1988,66.17,333000,Jul 2021
154,Serangoon Nth Ave 1,04 to 06,64,Simplified,1986,64,284000,Jul 2021
3,Lor Lew Lian,13 to 15,64,Improved,1978,55.92,342000,Jun 2021
302,Serangoon Ave 2,04 to 06,60,Improved,1985,62.83,338000,Jun 2021
303,Serangoon Ave 2,07 to 09,60,Improved,1984,62.58,311000,Jun 2021
306,Serangoon Ave 2,01 to 03,60,Improved,1985,62.83,348000,Jun 2021
203,Serangoon Ctrl,07 to 09,64,Simplified,1986,63.67,378000,Jun 2021
261,Serangoon Ctrl Dr,04 to 06,64,Simplified,1988,66.25,395000,Jun 2021
262,Serangoon Ctrl Dr,01 to 03,64,Simplified,1988,66.42,360000,Jun 2021
3,Lor Lew Lian,04 to 06,64,Improved,1978,56.08,328000,May 2021
124,Serangoon Nth Ave 1,01 to 03,73,New Generation,1985,62.83,306000,May 2021
147,Serangoon Nth Ave 1,01 to 03,64,Simplified,1988,66.33,280000,May 2021
1,Lor Lew Lian,04 to 06,73,Improved,1978,56.17,320000,Apr 2021
305,Serangoon Ave 2,04 to 06,60,Improved,1985,63,308888,Apr 2021
218,Serangoon Ave 4,07 to 09,67,New Generation,1985,62.92,345000,Apr 2021
209,Serangoon Ctrl,01 to 03,70,Simplified,1985,63.5,338000,Apr 2021
261,Serangoon Ctrl Dr,04 to 06,64,Simplified,1988,66.42,370000,Apr 2021
4,Lor Lew Lian,04 to 06,64,Improved,1978,56.17,295000,Mar 2021
5,Lor Lew Lian,13 to 15,64,Improved,1978,56.25,358000,Mar 2021
302,Serangoon Ave 2,04 to 06,60,Improved,1985,63.08,310000,Mar 2021
305,Serangoon Ave 2,01 to 03,60,Improved,1985,63.08,315000,Mar 2021
305,Serangoon Ave 2,04 to 06,69,Improved,1985,63.17,396000,Mar 2021
222,Serangoon Ave 4,10 to 12,67,New Generation,1985,63.5,350000,Mar 2021
201,Serangoon Ctrl,04 to 06,64,Simplified,1985,63.75,410000,Mar 2021
203,Serangoon Ctrl,01 to 03,64,Simplified,1986,63.83,388000,Mar 2021
207,Serangoon Ctrl,04 to 06,64,Simplified,1986,64.25,350000,Mar 2021
210,Serangoon Ctrl,01 to 03,64,Simplified,1985,63.58,363000,Mar 2021
107,Serangoon Nth Ave 1,10 to 12,60,Improved,1984,62.5,290000,Mar 2021
108,Serangoon Nth Ave 1,04 to 06,60,Improved,1985,62.92,270000,Mar 2021
1,Lor Lew Lian,07 to 09,64,Improved,1978,56.33,354000,Feb 2021
305,Serangoon Ave 2,10 to 12,60,Improved,1985,63.25,335000,Feb 2021
214,Serangoon Ave 4,04 to 06,67,New Generation,1985,63.08,280000,Feb 2021
203,Serangoon Ctrl,10 to 12,64,Simplified,1986,63.92,360000,Feb 2021
204,Serangoon Ctrl,04 to 06,64,Simplified,1985,63.75,400000,Feb 2021
2,Lor Lew Lian,07 to 09,64,Improved,1983,61.5,338000,Jan 2021
303,Serangoon Ave 2,10 to 12,60,Improved,1984,62.92,320000,Jan 2021
303,Serangoon Ave 2,07 to 09,69,Improved,1984,62.92,398000,Jan 2021
305,Serangoon Ave 2,04 to 06,60,Improved,1985,63.25,300000,Jan 2021
221,Serangoon Ave 4,07 to 09,67,New Generation,1984,63,350000,Jan 2021
222,Serangoon Ave 4,01 to 03,67,New Generation,1985,63.75,291000,Jan 2021
203,Serangoon Ctrl,10 to 12,64,Simplified,1986,64.08,358000,Jan 2021
203,Serangoon Ctrl,04 to 06,64,Simplified,1986,64,388000,Jan 2021
107,Serangoon Nth Ave 1,10 to 12,60,Improved,1984,62.75,272000,Jan 2021
107,Serangoon Nth Ave 1,07 to 09,70,Improved,1984,62.75,320000,Jan 2021
1,Lor Lew Lian,10 to 12,73,Improved,1978,56.5,337000,Dec 2020
2,Lor Lew Lian,07 to 09,64,Improved,1983,61.5,305000,Dec 2020
303,Serangoon Ave 2,01 to 03,69,Improved,1984,63,335000,Dec 2020
306,Serangoon Ave 2,04 to 06,70,Improved,1985,63.33,350000,Dec 2020
323,Serangoon Ave 3,04 to 06,64,Simplified,1985,64.08,386000,Dec 2020
215,Serangoon Ave 4,01 to 03,67,New Generation,1985,63.58,322000,Dec 2020
203,Serangoon Ctrl,04 to 06,64,Simplified,1986,64.17,370000,Dec 2020
206,Serangoon Ctrl,07 to 09,64,Simplified,1985,64.08,368000,Dec 2020
