block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
803,Tampines Ave 4,07 to 09,67,New Generation,1984,62.08,395000,Nov 2021
878A,Tampines Ave 8,04 to 06,68,Model A,2017,94.67,440000,Nov 2021
235,Tampines St 21,01 to 03,74,Model A,1993,70.75,370000,Nov 2021
286,Tampines St 22,07 to 09,74,Model A,1984,61.67,375000,Nov 2021
211,Tampines St 23,10 to 12,69,New Generation,1985,62.67,380000,Nov 2021
846,Tampines St 82,07 to 09,74,Model A,1986,63.25,388000,Nov 2021
803,Tampines Ave 4,04 to 06,67,New Generation,1984,62.17,360000,Oct 2021
878A,Tampines Ave 8,01 to 03,68,Model A,2017,94.75,410000,Oct 2021
879A,Tampines Ave 8,13 to 15,68,Model A,2017,94.75,450000,Oct 2021
879B,Tampines Ave 8,13 to 15,68,Model A,2017,94.75,415000,Oct 2021
499A,Tampines Ave 9,04 to 06,67,Model A,2014,91.5,408000,Oct 2021
519A,Tampines Ctrl 8,10 to 12,62,Dbss,2014,91.75,530000,Oct 2021
520A,Tampines Ctrl 8,04 to 06,61,Dbss,2014,91.67,490000,Oct 2021
520A,Tampines Ctrl 8,13 to 15,61,Dbss,2014,91.67,517000,Oct 2021
520C,Tampines Ctrl 8,10 to 12,62,Dbss,2014,91.83,495000,Oct 2021
520C,Tampines Ctrl 8,04 to 06,62,Dbss,2014,91.75,510000,Oct 2021
101,Tampines St 11,01 to 03,75,Model A,1982,59.5,340000,Oct 2021
101,Tampines St 11,01 to 03,75,Model A,1982,59.5,370000,Oct 2021
104,Tampines St 11,07 to 09,79,Model A,1982,60.08,378000,Oct 2021
105,Tampines St 11,04 to 06,75,Model A,1982,60.25,370000,Oct 2021
204,Tampines St 21,04 to 06,60,Improved,1983,61.25,332000,Oct 2021
205,Tampines St 21,07 to 09,75,Model A,1983,60.75,360000,Oct 2021
205,Tampines St 21,07 to 09,75,Model A,1983,60.83,370000,Oct 2021
237,Tampines St 21,07 to 09,73,Model A,1984,62.08,385000,Oct 2021
