block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
38C,Bendemeer Rd,04 to 06,69,Model A,2012,89.58,486000,Nov 2021
9,Boon Keng Rd,04 to 06,69,Dbss,2011,88.33,620000,Nov 2021
49,Dorset Rd,04 to 06,68,New Generation,1979,56.67,400888,Nov 2021
33,Jln Bahagia,01 to 03,56,Standard,1970,47.67,240000,Nov 2021
76,Lor Limau,01 to 03,65,Improved,1973,50.75,280000,Nov 2021
467,Nth Bridge Rd,07 to 09,60,Improved,1978,56.08,400000,Nov 2021
11,Upp Boon Keng Rd,10 to 12,65,Improved,1974,51.25,360000,Nov 2021
16,Upp Boon Keng Rd,01 to 03,65,Improved,1975,52.42,300000,Nov 2021
97,Whampoa Dr,10 to 12,65,Improved,1980,57.75,296000,Nov 2021
2,Beach Rd,13 to 15,68,Improved,1979,57,362000,Oct 2021
10A,Bendemeer Rd,07 to 09,68,Model A,2017,95.25,620000,Oct 2021
10A,Bendemeer Rd,31 to 33,68,Model A,2017,95.17,685000,Oct 2021
44,Bendemeer Rd,04 to 06,63,Standard,1981,58.25,305000,Oct 2021
45,Bendemeer Rd,10 to 12,66,Improved,1972,49.33,295000,Oct 2021
47,Bendemeer Rd,07 to 09,65,Improved,1974,52.08,295500,Oct 2021
9,Boon Keng Rd,04 to 06,70,Dbss,2011,88.33,640000,Oct 2021
49,Dorset Rd,10 to 12,81,New Generation,1979,56.67,480000,Oct 2021
15,Farrer Pk Rd,28 to 30,62,Model A,2004,81.75,515000,Oct 2021
28,Jln Bahagia,01 to 03,53,Standard,1971,48.33,237000,Oct 2021
5,Jln Batu,01 to 03,60,Standard,1969,46.25,284000,Oct 2021
5,Jln Batu,01 to 03,60,Standard,1969,46.25,300000,Oct 2021
5,Jln Batu,04 to 06,60,Standard,1969,46.33,310000,Oct 2021
116B,Jln Tenteram,07 to 09,67,Model A,2017,95.17,531000,Oct 2021
117A,Jln Tenteram,28 to 30,67,Model A,2017,95.17,548888,Oct 2021
76,Lor Limau,10 to 12,65,Improved,1973,50.83,288000,Oct 2021
77,Lor Limau,16 to 18,59,Improved,1973,50.83,310000,Oct 2021
113D,Mcnair Rd,16 to 18,68,Premium Apartment,2017,95.25,647000,Oct 2021
3,St. George's Rd,07 to 09,59,Improved,1976,53.67,302000,Oct 2021
20,St. George's Rd,07 to 09,67,New Generation,1984,62.08,343888,Oct 2021
74,Whampoa Dr,10 to 12,66,Improved,1981,58.75,305000,Oct 2021
34,Whampoa West,04 to 06,68,Improved,1972,49.25,342000,Oct 2021
2,Beach Rd,13 to 15,68,Improved,1979,57.08,358000,Sep 2021
10A,Bendemeer Rd,13 to 15,68,Model A,2017,95.33,656500,Sep 2021
10A,Bendemeer Rd,34 to 36,68,Model A,2017,95.33,688000,Sep 2021
23,Bendemeer Rd,01 to 03,68,Improved,1972,49.42,300000,Sep 2021
44,Bendemeer Rd,01 to 03,63,Standard,1981,58.33,275000,Sep 2021
44,Bendemeer Rd,10 to 12,63,Standard,1981,58.42,310000,Sep 2021
45,Bendemeer Rd,10 to 12,66,Improved,1972,49.42,300000,Sep 2021
50,Dorset Rd,04 to 06,68,New Generation,1979,56.75,360000,Sep 2021
15,Farrer Pk Rd,28 to 30,62,Model A,2004,81.83,555000,Sep 2021
801,French Rd,10 to 12,59,Improved,1979,56.5,368000,Sep 2021
57,Geylang Bahru,16 to 18,65,Improved,1974,51.92,320000,Sep 2021
68,Geylang Bahru,13 to 15,65,Improved,1974,51.92,322800,Sep 2021
32,Jln Bahagia,01 to 03,53,Standard,1971,48.42,240000,Sep 2021
46,Jln Bahagia,01 to 03,241,Terrace,1972,49.83,1235000,Sep 2021
3,Jln Batu,04 to 06,60,Standard,1969,46.42,276000,Sep 2021
4,Jln Batu,04 to 06,60,Standard,1969,46.42,278000,Sep 2021
6,Jln Batu,01 to 03,62,Standard,1969,46.42,298000,Sep 2021
6,Jln Batu,04 to 06,60,Standard,1969,46.33,313000,Sep 2021
116A,Jln Tenteram,28 to 30,67,Model A,2017,95.25,540000,Sep 2021
65,Kallang Bahru,01 to 03,65,Improved,1981,58.5,300000,Sep 2021
66,Kallang Bahru,04 to 06,65,Improved,1974,51.92,310000,Sep 2021
12,Kg Arang Rd,10 to 12,103,New Generation,1982,59.67,570000,Sep 2021
806,King George's Ave,07 to 09,68,Improved,1981,59,410000,Sep 2021
44,Owen Rd,01 to 03,82,New Generation,1979,56.83,485000,Sep 2021
684,Race Course Rd,07 to 09,63,Simplified,1986,63.42,400000,Sep 2021
685,Race Course Rd,10 to 12,63,Simplified,1986,63.42,390000,Sep 2021
7,St. George's Lane,07 to 09,60,Improved,1986,63.67,323800,Sep 2021
3,St. George's Rd,13 to 15,59,Improved,1976,53.75,295000,Sep 2021
3,St. George's Rd,04 to 06,59,Improved,1976,53.75,297000,Sep 2021
3,St. George's Rd,13 to 15,59,Improved,1976,53.75,306000,Sep 2021
14,St. George's Rd,01 to 03,67,New Generation,1984,62.17,350000,Sep 2021
74,Whampoa Dr,01 to 03,66,Improved,1981,58.83,285000,Sep 2021
74,Whampoa Dr,10 to 12,66,Improved,1981,58.75,310000,Sep 2021
97,Whampoa Dr,07 to 09,75,Improved,1980,57.92,360000,Sep 2021
98,Whampoa Dr,13 to 15,65,Improved,1974,51.58,310000,Sep 2021
34,Whampoa West,10 to 12,68,Improved,1972,49.42,341000,Sep 2021
34,Whampoa West,04 to 06,68,Improved,1972,49.33,348000,Sep 2021
45,Bendemeer Rd,10 to 12,66,Improved,1972,49.42,306000,Aug 2021
12,Farrer Pk Rd,28 to 30,62,Model A,2004,81.92,550000,Aug 2021
15,Farrer Pk Rd,16 to 18,62,Model A,2004,81.83,516000,Aug 2021
15,Farrer Pk Rd,22 to 24,62,Model A,2004,81.92,520000,Aug 2021
57,Geylang Bahru,13 to 15,65,Improved,1974,52,288000,Aug 2021
73,Geylang Bahru,07 to 09,59,Improved,1974,51.58,305000,Aug 2021
95,Geylang Bahru,01 to 03,68,New Generation,1979,56.58,318000,Aug 2021
10,Gloucester Rd,07 to 09,67,New Generation,1976,54.25,388000,Aug 2021
48,Jln Bahagia,01 to 03,78,Terrace,1972,49.92,783000,Aug 2021
