block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
348B,Yishun Ave 11,10 to 12,67,Dbss,2013,91,457000,Nov 2021
116,Yishun Ring Rd,01 to 03,74,Model A,1983,60.67,330000,Nov 2021
137,Yishun Ring Rd,07 to 09,68,New Generation,1985,62.25,318000,Nov 2021
236,Yishun Ring Rd,01 to 03,80,New Generation,1985,62.92,360000,Nov 2021
342B,Yishun Ring Rd,07 to 09,68,Premium Apartment,2016,93.25,415000,Nov 2021
402,Yishun Ring Rd,07 to 09,74,Model A,1989,66.42,336000,Nov 2021
121,Yishun St 11,07 to 09,67,New Generation,1984,62.17,330000,Nov 2021
454,Yishun St 41,01 to 03,67,Model A,2013,90.83,350000,Nov 2021
431B,Yishun Ave 1,10 to 12,67,Model A,2015,93,385000,Oct 2021
347A,Yishun Ave 11,04 to 06,67,Dbss,2013,91,435000,Oct 2021
778,Yishun Ave 2,10 to 12,74,Model A,1989,66.25,355000,Oct 2021
773,Yishun Ave 3,07 to 09,64,Simplified,1987,64.25,345000,Oct 2021
774,Yishun Ave 3,10 to 12,64,Simplified,1987,64.42,315000,Oct 2021
774,Yishun Ave 3,10 to 12,64,Simplified,1987,64.42,350000,Oct 2021
508A,Yishun Ave 4,01 to 03,68,Model A,2018,95.67,365000,Oct 2021
862,Yishun Ave 4,04 to 06,74,Model A,1988,65.83,340000,Oct 2021
705,Yishun Ave 5,01 to 03,67,New Generation,1984,61.67,330000,Oct 2021
712,Yishun Ave 5,07 to 09,68,New Generation,1984,61.5,338000,Oct 2021
742,Yishun Ave 5,10 to 12,67,New Generation,1985,63.25,405000,Oct 2021
284,Yishun Ave 6,01 to 03,74,Model A,1987,64.92,316000,Oct 2021
287,Yishun Ave 6,04 to 06,74,Model A,1985,62.92,310888,Oct 2021
171,Yishun Ave 7,07 to 09,64,Simplified,1988,65.92,313000,Oct 2021
320,Yishun Ctrl,10 to 12,74,Model A,1988,65.42,355000,Oct 2021
108,Yishun Ring Rd,04 to 06,67,New Generation,1985,62.25,318000,Oct 2021
112,Yishun Ring Rd,13 to 15,64,Simplified,1985,63.08,322000,Oct 2021
117,Yishun Ring Rd,04 to 06,74,Model A,1983,60.75,316000,Oct 2021
136,Yishun Ring Rd,04 to 06,68,New Generation,1984,62,320000,Oct 2021
137,Yishun Ring Rd,07 to 09,68,New Generation,1985,62.33,335888,Oct 2021
165,Yishun Ring Rd,13 to 15,64,Simplified,1988,65.75,300000,Oct 2021
165,Yishun Ring Rd,10 to 12,64,Simplified,1988,65.75,305000,Oct 2021
241,Yishun Ring Rd,07 to 09,67,New Generation,1986,64.17,335000,Oct 2021
242,Yishun Ring Rd,07 to 09,67,New Generation,1986,63.33,348000,Oct 2021
806,Yishun Ring Rd,07 to 09,74,Model A,1987,64.42,388000,Oct 2021
808,Yishun Ring Rd,10 to 12,74,Model A,1987,64.5,378000,Oct 2021
126,Yishun St 11,10 to 12,71,New Generation,1984,62,308000,Oct 2021
127,Yishun St 11,01 to 03,72,New Generation,1984,62.25,330000,Oct 2021
147,Yishun St 11,01 to 03,67,New Generation,1985,63,325000,Oct 2021
150,Yishun St 11,07 to 09,67,New Generation,1985,62.5,340000,Oct 2021
201,Yishun St 21,04 to 06,67,New Generation,1985,62.75,343888,Oct 2021
214,Yishun St 21,10 to 12,67,New Generation,1985,62.33,368000,Oct 2021
333D,Yishun St 31,04 to 06,67,Model A,2015,93.08,365000,Oct 2021
454,Yishun St 41,07 to 09,67,Model A,2013,90.92,365000,Oct 2021
455,Yishun St 41,10 to 12,67,Model A,2013,90.92,363800,Oct 2021
505A,Yishun St 51,04 to 06,68,Model A,2016,93.5,352000,Oct 2021
505A,Yishun St 51,10 to 12,68,Model A,2016,93.42,375888,Oct 2021
505B,Yishun St 51,10 to 12,68,Model A,2016,93.5,372888,Oct 2021
511C,Yishun St 51,04 to 06,68,Model A,2017,94.92,350000,Oct 2021
511C,Yishun St 51,04 to 06,68,Model A,2017,94.92,365000,Oct 2021
511C,Yishun St 51,10 to 12,68,Model A,2017,94.92,410000,Oct 2021
512A,Yishun St 51,04 to 06,68,Model A,2017,94.92,375000,Oct 2021
714,Yishun St 71,07 to 09,64,Simplified,1988,65.42,300000,Oct 2021
725,Yishun St 71,01 to 03,64,Simplified,1987,65.17,300000,Oct 2021
736,Yishun St 72,04 to 06,67,New Generation,1984,62.08,345000,Oct 2021
833,Yishun St 81,10 to 12,73,Model A,1988,66.17,358000,Oct 2021
347A,Yishun Ave 11,10 to 12,67,Dbss,2013,91.17,455000,Sep 2021
430A,Yishun Ave 11,04 to 06,67,Model A,2015,93.25,345888,Sep 2021
507A,Yishun Ave 4,07 to 09,68,Model A,2018,95.67,372000,Sep 2021
663A,Yishun Ave 4,01 to 03,71,Simplified,1992,69.83,345000,Sep 2021
862,Yishun Ave 4,07 to 09,74,Model A,1988,65.83,350000,Sep 2021
703,Yishun Ave 5,04 to 06,68,New Generation,1984,61.42,350000,Sep 2021
706,Yishun Ave 5,07 to 09,68,New Generation,1984,61.42,328000,Sep 2021
707,Yishun Ave 5,07 to 09,68,New Generation,1984,61.67,300000,Sep 2021
707,Yishun Ave 5,07 to 09,68,New Generation,1984,61.58,312000,Sep 2021
709,Yishun Ave 5,10 to 12,68,New Generation,1984,61.67,330000,Sep 2021
740,Yishun Ave 5,04 to 06,67,New Generation,1985,62.58,325000,Sep 2021
742,Yishun Ave 5,07 to 09,67,New Generation,1985,63.25,378000,Sep 2021
286,Yishun Ave 6,01 to 03,74,Model A,1987,64.83,310000,Sep 2021
399,Yishun Ave 6,04 to 06,73,Model A,1989,66.58,328000,Sep 2021
321,Yishun Ctrl,01 to 03,74,Model A,1988,65.42,333000,Sep 2021
103,Yishun Ring Rd,01 to 03,67,New Generation,1985,62.42,315000,Sep 2021
108,Yishun Ring Rd,07 to 09,67,New Generation,1985,62.42,323000,Sep 2021
108,Yishun Ring Rd,04 to 06,67,New Generation,1985,62.42,325000,Sep 2021
141,Yishun Ring Rd,10 to 12,71,New Generation,1984,62.42,310000,Sep 2021
