location_of_centre,no_of_cooked_food_stalls,no_of_mkt_produce_stalls,name_of_centre,type_of_centre,no_of_stalls,owner,_id
2 Adam Road S(289876),32,0,Adam Road Food Centre,HC,32,Government,1
National Development Building Annex B Telok Ayer Street, S(069111),134,1,Amoy Street Food Centre,HC,135,Government,2
1 Bedok Road S(469572),32,0,Bedok Food Centre,HC,32,Government,3
38A Beo Crescent S(169982),32,62,Beo Crescent Market,MHC,94,Government,4
166 Jalan Besar S(208877),66,0,Berseh Food Centre,HC,66,Government,5
51 Upper Bukit Timah Road S(588215),84,95,Bukit Timah Market,MHC,179,Government,6
20 Kensington Park Road S(557269),36,0,Chomp Chomp Food Centre,HC,36,Government,7
31 Commonwealth Crescent S(149644),39,63,Commonwealth Crescent Market,MHC,102,Government,8
271 Onan Road S(424768),30,0,Dunman Food Centre,HC,30,Government,9
1220 East Coast Parkway S(468960),63,0,East Coast Lagoon Food Village,HC,63,Government,10
Geylang Serai S(402001),63,302,Geylang Serai Market,MHC,365,Government,11
505 Beach Road S(199583),112,111,Golden Mile Food Centre,MHC,223,Government,12
1 Lorong Mambong S(277700),21,48,Holland Village Market & Food Centre,MHC,69,Government,13
17 Old Airport Road S(397972),16,78,Kallang Estate Market,MHC,94,Government,14
50 Market Street Golden Shoe Multi-Storey Car Park, 2nd/3rd Storey, S(048940),76,0,Market Street Food Centre,HC,76,Government,15
1 Kadayanallur Street S(069184),103,0,Maxwell Food Centre,HC,103,Government,16
500 Clemenceau Ave North S(229495),83,0,Newton Food Centre,HC,83,Government,17
861 North Bridge Road S(198783),37,82,North Bridge Road Market & Food Centre,MHC,119,Government,18
121 Pasir Panjang Road S(118543),45,0,Pasir Panjang Food Centre,HC,45,Government,19
49A Serangoon Garden Way S(555945),46,36,Serangoon Garden Market,MHC,82,Government,20
590 Upper Thomson Road S(574419),36,0,Sembawang Hill Food Centre,HC,36,Government,21
