storey,floor area (sqm),flat model,remaining lease (yr),resale price ($),resale registration date,area,lat,lng
26,70,Model A,90,530000,Sep-21,Ang Mo Kio,1.3652927,103.8444284
26,70,Model A,90.33,543000,Jun-21,Ang Mo Kio,1.3655146,103.8440661
17,67,Model A,93.67,455000,May-21,Ang Mo Kio,1.3776837,103.8426804
20,67,Model A,93.75,473000,Apr-21,Ang Mo Kio,1.3776837,103.8426804
29,70,Model A,90.58,510000,Mar-21,Ang Mo Kio,1.3655146,103.8440661
29,70,Model A,90.83,510000,Dec-20,Ang Mo Kio,1.3652927,103.8444284
26,70,Model A,90,530000,Sep-21,Ang Mo Kio,1.3652927,103.8444284
26,70,Model A,90.33,543000,Jun-21,Ang Mo Kio,1.3655146,103.8440661
17,67,Model A,93.67,455000,May-21,Ang Mo Kio,1.3776837,103.8426804
20,67,Model A,93.75,473000,Apr-21,Ang Mo Kio,1.3776837,103.8426804
29,70,Model A,90.58,510000,Mar-21,Ang Mo Kio,1.3655146,103.8440661
29,70,Model A,90.83,510000,Dec-20,Ang Mo Kio,1.3652927,103.8444284
17,68,New Generation,57.58,339000,Aug-21,Bedok,1.3340175,103.925139
17,68,New Generation,57.58,300000,Jul-21,Bedok,1.3334447,103.9229638
17,67,New Generation,55.58,338888,Jul-21,Bedok,1.3200234,103.9429035
17,67,New Generation,55.92,308000,Feb-21,Bedok,1.3200234,103.9429035
17,68,New Generation,58.17,299000,Dec-20,Bedok,1.3334447,103.9229638
17,68,New Generation,57.58,339000,Aug-21,Bedok,1.3340175,103.925139
17,68,New Generation,57.58,300000,Jul-21,Bedok,1.3334447,103.9229638
17,67,New Generation,55.58,338888,Jul-21,Bedok,1.3200234,103.9429035
17,67,New Generation,55.92,308000,Feb-21,Bedok,1.3200234,103.9429035
17,68,New Generation,58.17,299000,Dec-20,Bedok,1.3334447,103.9229638
17,65,Improved,50.83,356000,Oct-21,Bukit Merah,1.2826858,103.8233525
26,60,Model A,80.33,570000,Oct-21,Bukit Merah,1.2744703,103.8400805
17,65,Improved,52.42,330000,Oct-21,Bukit Merah,1.2901396,103.8225544
17,60,Standard,44.75,262888,Oct-21,Bukit Merah,1.2864086,103.8098066
36,62,Model A,90.42,630000,Oct-21,Bukit Merah,1.2822322,103.8293203
36,62,Model A,90.42,625000,Oct-21,Bukit Merah,1.282039,103.8296416
