storey,floor area (sqm),flat model,remaining lease (yr),resale price ($),resale registration date,area,lat,lng,nearest_mall,nearest_mall_dist,nearest_MRT,nearest_MRT_dist,dist_to_Orchard
26,70,Model A,90.0,530000,Sep-21,Ang Mo Kio,1.3652927,103.8444284,AMK Hub Singapore,0.6487237977629486,Teck Ghee MRT,0.19756680488933354,6.958979722468684
26,70,Model A,90.33,543000,Jun-21,Ang Mo Kio,1.3655146,103.8440661,AMK Hub Singapore,0.660106446461817,Teck Ghee MRT,0.17119185121418903,6.975139326957592
17,67,Model A,93.67,455000,May-21,Ang Mo Kio,1.3776837,103.8426804,Broadway Plaza Singapore,0.7366697206060053,Yio Chu Kang MRT,0.5178988245948534,8.282304014114425
20,67,Model A,93.75,473000,Apr-21,Ang Mo Kio,1.3776837,103.8426804,Broadway Plaza Singapore,0.7366697206060053,Yio Chu Kang MRT,0.5178988245948534,8.282304014114425
29,70,Model A,90.58,510000,Mar-21,Ang Mo Kio,1.3655146,103.8440661,AMK Hub Singapore,0.660106446461817,Teck Ghee MRT,0.17119185121418903,6.975139326957592
29,70,Model A,90.83,510000,Dec-20,Ang Mo Kio,1.3652927,103.8444284,AMK Hub Singapore,0.6487237977629486,Teck Ghee MRT,0.19756680488933354,6.958979722468684
26,70,Model A,90.0,530000,Sep-21,Ang Mo Kio,1.3652927,103.8444284,AMK Hub Singapore,0.6487237977629486,Teck Ghee MRT,0.19756680488933354,6.958979722468684
26,70,Model A,90.33,543000,Jun-21,Ang Mo Kio,1.3655146,103.8440661,AMK Hub Singapore,0.660106446461817,Teck Ghee MRT,0.17119185121418903,6.975139326957592
17,67,Model A,93.67,455000,May-21,Ang Mo Kio,1.3776837,103.8426804,Broadway Plaza Singapore,0.7366697206060053,Yio Chu Kang MRT,0.5178988245948534,8.282304014114425
20,67,Model A,93.75,473000,Apr-21,Ang Mo Kio,1.3776837,103.8426804,Broadway Plaza Singapore,0.7366697206060053,Yio Chu Kang MRT,0.5178988245948534,8.282304014114425
29,70,Model A,90.58,510000,Mar-21,Ang Mo Kio,1.3655146,103.8440661,AMK Hub Singapore,0.660106446461817,Teck Ghee MRT,0.17119185121418903,6.975139326957592
29,70,Model A,90.83,510000,Dec-20,Ang Mo Kio,1.3652927,103.8444284,AMK Hub Singapore,0.6487237977629486,Teck Ghee MRT,0.19756680488933354,6.958979722468684
17,68,New Generation,57.58,339000,Aug-21,Bedok,1.3340175,103.925139,Djitsun Mall Bedok Singapore,1.0045757302193556,Bedok North MRT,0.8002558544125249,10.903149210291478
17,68,New Generation,57.58,300000,Jul-21,Bedok,1.3334447,103.9229638,Djitsun Mall Bedok Singapore,1.093881526292757,Bedok North MRT,0.5822028533773268,10.653462318806621
17,67,New Generation,55.58,338888,Jul-21,Bedok,1.3200234,103.9429035,Bedok Point Singapore,1.2907310279389794,Tanah Merah MRT,0.8964601529330906,12.482381517432072
17,67,New Generation,55.92,308000,Feb-21,Bedok,1.3200234,103.9429035,Bedok Point Singapore,1.2907310279389794,Tanah Merah MRT,0.8964601529330906,12.482381517432072
17,68,New Generation,58.17,299000,Dec-20,Bedok,1.3334447,103.9229638,Djitsun Mall Bedok Singapore,1.093881526292757,Bedok North MRT,0.5822028533773268,10.653462318806621
17,68,New Generation,57.58,339000,Aug-21,Bedok,1.3340175,103.925139,Djitsun Mall Bedok Singapore,1.0045757302193556,Bedok North MRT,0.8002558544125249,10.903149210291478
17,68,New Generation,57.58,300000,Jul-21,Bedok,1.3334447,103.9229638,Djitsun Mall Bedok Singapore,1.093881526292757,Bedok North MRT,0.5822028533773268,10.653462318806621
17,67,New Generation,55.58,338888,Jul-21,Bedok,1.3200234,103.9429035,Bedok Point Singapore,1.2907310279389794,Tanah Merah MRT,0.8964601529330906,12.482381517432072
17,67,New Generation,55.92,308000,Feb-21,Bedok,1.3200234,103.9429035,Bedok Point Singapore,1.2907310279389794,Tanah Merah MRT,0.8964601529330906,12.482381517432072
17,68,New Generation,58.17,299000,Dec-20,Bedok,1.3334447,103.9229638,Djitsun Mall Bedok Singapore,1.093881526292757,Bedok North MRT,0.5822028533773268,10.653462318806621
17,65,Improved,50.83,356000,Oct-21,Bukit Merah,1.2826858,103.8233525,Tiong Bahru Plaza Singapore,0.6345191678015563,Tiong Bahru MRT,0.5234971582269151,2.5482050426016585
26,60,Model A,80.33,570000,Oct-21,Bukit Merah,1.2744703,103.8400805,100 AM Singapore,0.3919870656661183,Cantonment MRT,0.4252471338698286,3.4114216087012545
17,65,Improved,52.42,330000,Oct-21,Bukit Merah,1.2901396,103.8225544,Tiong Bahru Plaza Singapore,0.722187541439706,Redhill MRT,0.6245354310037528,1.8506716330124902
17,60,Standard,44.75,262888,Oct-21,Bukit Merah,1.2864086,103.8098066,Alexandra Central Singapore,0.5231214945441944,Redhill MRT,0.8633779887449107,3.1284103869488114
36,62,Model A,90.42,630000,Oct-21,Bukit Merah,1.2822322,103.8293203,Tiong Bahru Plaza Singapore,0.48190721955480725,Tiong Bahru MRT,0.4707027488256608,2.4359865747883584
36,62,Model A,90.42,625000,Oct-21,Bukit Merah,1.282039,103.8296416,Tiong Bahru Plaza Singapore,0.515309150043847,Tiong Bahru MRT,0.5088426662659086,2.453640149943362
26,62,Model A,90.42,610000,Oct-21,Bukit Merah,1.281516,103.830022,Tiong Bahru Plaza Singapore,0.585745292864756,Tiong Bahru MRT,0.5807470947377205,2.5079068723865316
35,68,Premium Apartment,90.92,658000,Oct-21,Bukit Merah,1.2734894,103.8072667,Alexandra Retail Centre Singapore,0.6427160665717978,Telok Blangah MRT,0.4225829246793296,4.350836998725298
17,65,Improved,50.92,350000,Sep-21,Bukit Merah,1.2826858,103.8233525,Tiong Bahru Plaza Singapore,0.6345191678015563,Tiong Bahru MRT,0.5234971582269151,2.5482050426016585
17,76,Improved,50.92,410000,Sep-21,Bukit Merah,1.2836829,103.8240354,Tiong Bahru Plaza Singapore,0.5071233562580496,Tiong Bahru MRT,0.3954386338660972,2.417390829146518
20,68,Model A,96.75,668000,Sep-21,Bukit Merah,1.288026,103.8212865,Tiong Bahru Plaza Singapore,0.7476508380935208,Redhill MRT,0.49993904042639775,2.124463832676654
20,60,Model A,86.42,550000,Sep-21,Bukit Merah,1.2827261,103.824674,Tiong Bahru Plaza Singapore,0.5252988943476017,Tiong Bahru MRT,0.41880103728094925,2.4937683375436115
20,68,Model A,94.75,625000,Sep-21,Bukit Merah,1.2764241,103.8111733,Alexandra Retail Centre Singapore,1.110903690885947,Telok Blangah MRT,0.6495030428545843,3.8268615116245686
20,68,Model A,94.67,640000,Sep-21,Bukit Merah,1.2764241,103.8111733,Alexandra Retail Centre Singapore,1.110903690885947,Telok Blangah MRT,0.6495030428545843,3.8268615116245686
23,68,Model A,94.75,635000,Sep-21,Bukit Merah,1.2765156,103.8106617,Alexandra Retail Centre Singapore,1.0586864636437074,Telok Blangah MRT,0.6493911417601477,3.853077242957318
17,65,Improved,60.5,363000,Aug-21,Bukit Merah,1.2835678,103.8208789,Tiong Bahru Plaza Singapore,0.8247424199160213,Tiong Bahru MRT,0.7156898263576927,2.5745042891143823
17,65,Improved,51.0,380000,Aug-21,Bukit Merah,1.2836829,103.8240354,Tiong Bahru Plaza Singapore,0.5071233562580496,Tiong Bahru MRT,0.3954386338660972,2.417390829146518
20,69,Model A,90.83,660000,Aug-21,Bukit Merah,1.2901637,103.8281018,Tiong Bahru Plaza Singapore,0.4328395179858277,Tiong Bahru MRT,0.5091746934320414,1.5918351386604241
20,68,Model A,96.83,670000,Aug-21,Bukit Merah,1.2872983,103.82199,Tiong Bahru Plaza Singapore,0.6537219245583865,Tiong Bahru MRT,0.5772510679340992,2.152041660663572
17,60,Model A,86.42,580000,Aug-21,Bukit Merah,1.2830701,103.8260692,Tiong Bahru Plaza Singapore,0.4049696899238316,Tiong Bahru MRT,0.31167403351489287,2.4122239974879114
35,68,Premium Apartment,91.08,680000,Aug-21,Bukit Merah,1.2734894,103.8072667,Alexandra Retail Centre Singapore,0.6427160665717978,Telok Blangah MRT,0.4225829246793296,4.350836998725298
23,62,Model A,93.5,688000,Jul-21,Bukit Merah,1.2865016,103.8291887,Tiong Bahru Plaza Singapore,0.15819195794320418,Tiong Bahru MRT,0.2640141306911883,1.9670118175851123
17,65,Improved,51.08,310000,Jul-21,Bukit Merah,1.2836829,103.8240354,Tiong Bahru Plaza Singapore,0.5071233562580496,Tiong Bahru MRT,0.3954386338660972,2.417390829146518
20,60,Model A,86.58,580000,Jul-21,Bukit Merah,1.2827261,103.824674,Tiong Bahru Plaza Singapore,0.5252988943476017,Tiong Bahru MRT,0.41880103728094925,2.4937683375436115
17,65,Improved,51.17,380088,Jun-21,Bukit Merah,1.2826858,103.8233525,Tiong Bahru Plaza Singapore,0.6345191678015563,Tiong Bahru MRT,0.5234971582269151,2.5482050426016585
26,68,Model A,97.0,680000,Jun-21,Bukit Merah,1.2865529,103.8215468,Tiong Bahru Plaza Singapore,0.6938359335244505,Redhill MRT,0.5947714652285301,2.248462092008541
36,62,Model A,90.75,616500,Jun-21,Bukit Merah,1.281516,103.830022,Tiong Bahru Plaza Singapore,0.585745292864756,Tiong Bahru MRT,0.5807470947377205,2.5079068723865316
